Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.253, 'READING_POWER_IN_LOW_TARIFF': 23.342, 'READING_GAS_IN': 5.391}, 'time': '2018-06-09T22:12:27.793752', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.358, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:12:57.828952', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.358, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:13:27.870957', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.358, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:13:57.897579', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.358, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:14:27.937167', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.358, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:14:57.960246', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.358, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:15:27.988265', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.358, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:15:59.796439', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.292, 'READING_POWER_IN_LOW_TARIFF': 23.376, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:16:29.828840', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.292, 'READING_POWER_IN_LOW_TARIFF': 23.376, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:16:59.869014', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.292, 'READING_POWER_IN_LOW_TARIFF': 23.376, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:17:29.910455', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.292, 'READING_POWER_IN_LOW_TARIFF': 23.376, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:17:59.931291', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.292, 'READING_POWER_IN_LOW_TARIFF': 23.376, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:18:29.970873', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.292, 'READING_POWER_IN_LOW_TARIFF': 23.376, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:19:00.000009', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.292, 'READING_POWER_IN_LOW_TARIFF': 23.376, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:19:31.801227', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.393, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:20:01.843900', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.393, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:20:31.885727', 'measurement': 'SmartMeter'}]
Write points: [{'fields': {'READING_POWER_IN_NORM_TARIFF': 31.868, 'ACTUAL_POWER_IN': 0.29, 'READING_POWER_IN_LOW_TARIFF': 23.393, 'READING_GAS_IN': 5.399}, 'time': '2018-06-09T22:21:01.924214', 'measurement': 'SmartMeter'}]
